run	Prop_VSO	Prop_SVO	Prop_SOV	n_agents	n_turns	n_conversations	n_gen	n_runs	prob_random	learn_as_talking
10	1.0	0.0	0.0	2	1	20	300	100	0.05	True
11	1.0	0.0	0.0	2	1	20	300	100	0.05	True
12	1.0	0.0	0.0	2	1	20	300	100	0.05	True
13	0.0	1.0	0.0	2	1	20	300	100	0.05	True
14	1.0	0.0	0.0	2	1	20	300	100	0.05	True
15	0.0	0.0	1.0	2	1	20	300	100	0.05	True
16	0.0	1.0	0.0	2	1	20	300	100	0.05	True
17	1.0	0.0	0.0	2	1	20	300	100	0.05	True
18	0.0	1.0	0.0	2	1	20	300	100	0.05	True
19	0.0	0.0	1.0	2	1	20	300	100	0.05	True
20	0.0	1.0	0.0	2	1	20	300	100	0.05	True
21	1.0	0.0	0.0	2	1	20	300	100	0.05	True
22	1.0	0.0	0.0	2	1	20	300	100	0.05	True
23	1.0	0.0	0.0	2	1	20	300	100	0.05	True
24	0.0	1.0	0.0	2	1	20	300	100	0.05	True
25	0.0	0.0	1.0	2	1	20	300	100	0.05	True
26	0.0	1.0	0.0	2	1	20	300	100	0.05	True
27	1.0	0.0	0.0	2	1	20	300	100	0.05	True
28	1.0	0.0	0.0	2	1	20	300	100	0.05	True
29	1.0	0.0	0.0	2	1	20	300	100	0.05	True
30	1.0	0.0	0.0	2	1	20	300	100	0.05	True
31	0.0	0.0	1.0	2	1	20	300	100	0.05	True
32	0.0	1.0	0.0	2	1	20	300	100	0.05	True
33	0.0	0.0	1.0	2	1	20	300	100	0.05	True
34	0.0	0.0	1.0	2	1	20	300	100	0.05	True
35	0.0	0.0	1.0	2	1	20	300	100	0.05	True
36	1.0	0.0	0.0	2	1	20	300	100	0.05	True
37	0.0	1.0	0.0	2	1	20	300	100	0.05	True
38	1.0	0.0	0.0	2	1	20	300	100	0.05	True
39	1.0	0.0	0.0	2	1	20	300	100	0.05	True
40	0.0	1.0	0.0	2	1	20	300	100	0.05	True
41	0.0	1.0	0.0	2	1	20	300	100	0.05	True
42	1.0	0.0	0.0	2	1	20	300	100	0.05	True
43	0.0	0.0	1.0	2	1	20	300	100	0.05	True
44	0.0	0.0	1.0	2	1	20	300	100	0.05	True
45	0.0	1.0	0.0	2	1	20	300	100	0.05	True
46	0.0	1.0	0.0	2	1	20	300	100	0.05	True
47	1.0	0.0	0.0	2	1	20	300	100	0.05	True
48	1.0	0.0	0.0	2	1	20	300	100	0.05	True
49	1.0	0.0	0.0	2	1	20	300	100	0.05	True
50	0.0	1.0	0.0	2	1	20	300	100	0.05	True
51	0.0	0.0	1.0	2	1	20	300	100	0.05	True
52	0.0	0.0	1.0	2	1	20	300	100	0.05	True
53	0.0	1.0	0.0	2	1	20	300	100	0.05	True
54	0.0	1.0	0.0	2	1	20	300	100	0.05	True
55	0.0	0.0	1.0	2	1	20	300	100	0.05	True
56	0.0	0.0	1.0	2	1	20	300	100	0.05	True
57	1.0	0.0	0.0	2	1	20	300	100	0.05	True
58	0.0	1.0	0.0	2	1	20	300	100	0.05	True
59	0.0	0.0	1.0	2	1	20	300	100	0.05	True
60	0.0	1.0	0.0	2	1	20	300	100	0.05	True
61	0.0	0.0	1.0	2	1	20	300	100	0.05	True
62	1.0	0.0	0.0	2	1	20	300	100	0.05	True
63	1.0	0.0	0.0	2	1	20	300	100	0.05	True
64	0.0	0.0	1.0	2	1	20	300	100	0.05	True
65	1.0	0.0	0.0	2	1	20	300	100	0.05	True
