run	Prop_VSO	Prop_SVO	Prop_SOV	n_agents	n_turns	n_conversations	n_gen	n_runs	prob_random	learn_as_talking	probScale
13	0.0	1.0	0.0	10	1	20	300	100	0	False	1
14	0.0	1.0	0.0	10	1	20	300	100	0	False	1
15	0.0	1.0	0.0	10	1	20	300	100	0	False	1
16	1.0	0.0	0.0	10	1	20	300	100	0	False	1
17	1.0	0.0	0.0	10	1	20	300	100	0	False	1
18	0.0	0.0	1.0	10	1	20	300	100	0	False	1
19	0.0	1.0	0.0	10	1	20	300	100	0	False	1
20	0.0	1.0	0.0	10	1	20	300	100	0	False	1
21	0.0	0.0	1.0	10	1	20	300	100	0	False	1
22	1.0	0.0	0.0	10	1	20	300	100	0	False	1
23	0.0	1.0	0.0	10	1	20	300	100	0	False	1
24	1.0	0.0	0.0	10	1	20	300	100	0	False	1
25	1.0	0.0	0.0	10	1	20	300	100	0	False	1
26	0.0	0.0	1.0	10	1	20	300	100	0	False	1
27	1.0	0.0	0.0	10	1	20	300	100	0	False	1
28	0.0	1.0	0.0	10	1	20	300	100	0	False	1
29	1.0	0.0	0.0	10	1	20	300	100	0	False	1
30	1.0	0.0	0.0	10	1	20	300	100	0	False	1
31	1.0	0.0	0.0	10	1	20	300	100	0	False	1
32	0.0	1.0	0.0	10	1	20	300	100	0	False	1
33	1.0	0.0	0.0	10	1	20	300	100	0	False	1
34	1.0	0.0	0.0	10	1	20	300	100	0	False	1
35	0.0	1.0	0.0	10	1	20	300	100	0	False	1
36	1.0	0.0	0.0	10	1	20	300	100	0	False	1
37	0.0	0.0	1.0	10	1	20	300	100	0	False	1
38	1.0	0.0	0.0	10	1	20	300	100	0	False	1
39	0.0	0.0	1.0	10	1	20	300	100	0	False	1
40	0.0	0.0	1.0	10	1	20	300	100	0	False	1
41	0.0	0.14	0.86	10	1	20	300	100	0	False	1
42	0.0	0.0	1.0	10	1	20	300	100	0	False	1
43	1.0	0.0	0.0	10	1	20	300	100	0	False	1
44	0.0	1.0	0.0	10	1	20	300	100	0	False	1
45	0.0	1.0	0.0	10	1	20	300	100	0	False	1
46	0.0	1.0	0.0	10	1	20	300	100	0	False	1
47	1.0	0.0	0.0	10	1	20	300	100	0	False	1
48	0.0	0.0	1.0	10	1	20	300	100	0	False	1
49	1.0	0.0	0.0	10	1	20	300	100	0	False	1
50	0.0	1.0	0.0	10	1	20	300	100	0	False	1
51	0.0	0.0	1.0	10	1	20	300	100	0	False	1
52	0.0	1.0	0.0	10	1	20	300	100	0	False	1
53	0.0	0.0	1.0	10	1	20	300	100	0	False	1
54	0.0	1.0	0.0	10	1	20	300	100	0	False	1
55	0.0	1.0	0.0	10	1	20	300	100	0	False	1
56	0.0	0.0	1.0	10	1	20	300	100	0	False	1
57	1.0	0.0	0.0	10	1	20	300	100	0	False	1
58	0.0	1.0	0.0	10	1	20	300	100	0	False	1
59	0.0	1.0	0.0	10	1	20	300	100	0	False	1
60	0.0	1.0	0.0	10	1	20	300	100	0	False	1
61	0.0	1.0	0.0	10	1	20	300	100	0	False	1
62	0.0	1.0	0.0	10	1	20	300	100	0	False	1
63	0.0	1.0	0.0	10	1	20	300	100	0	False	1
64	1.0	0.0	0.0	10	1	20	300	100	0	False	1
65	0.0	0.46	0.54	10	1	20	300	100	0	False	1
66	1.0	0.0	0.0	10	1	20	300	100	0	False	1
67	0.0	0.0	1.0	10	1	20	300	100	0	False	1
68	0.0	1.0	0.0	10	1	20	300	100	0	False	1
69	1.0	0.0	0.0	10	1	20	300	100	0	False	1
70	0.0	1.0	0.0	10	1	20	300	100	0	False	1
71	0.0	0.0	1.0	10	1	20	300	100	0	False	1
72	1.0	0.0	0.0	10	1	20	300	100	0	False	1
73	0.0	0.0	1.0	10	1	20	300	100	0	False	1
74	0.0	0.0	1.0	10	1	20	300	100	0	False	1
75	0.0	1.0	0.0	10	1	20	300	100	0	False	1
76	1.0	0.0	0.0	10	1	20	300	100	0	False	1
77	0.0	1.0	0.0	10	1	20	300	100	0	False	1
78	1.0	0.0	0.0	10	1	20	300	100	0	False	1
79	1.0	0.0	0.0	10	1	20	300	100	0	False	1
80	0.0	1.0	0.0	10	1	20	300	100	0	False	1
81	0.0	1.0	0.0	10	1	20	300	100	0	False	1
82	0.0	1.0	0.0	10	1	20	300	100	0	False	1
83	1.0	0.0	0.0	10	1	20	300	100	0	False	1
84	1.0	0.0	0.0	10	1	20	300	100	0	False	1
85	0.0	1.0	0.0	10	1	20	300	100	0	False	1
86	0.0	0.0	1.0	10	1	20	300	100	0	False	1
87	1.0	0.0	0.0	10	1	20	300	100	0	False	1
88	0.0	1.0	0.0	10	1	20	300	100	0	False	1
89	0.0	0.0	1.0	10	1	20	300	100	0	False	1
90	0.0	1.0	0.0	10	1	20	300	100	0	False	1
91	0.0	0.0	1.0	10	1	20	300	100	0	False	1
92	0.0	0.0	1.0	10	1	20	300	100	0	False	1
93	0.0	1.0	0.0	10	1	20	300	100	0	False	1
94	0.0	0.0	1.0	10	1	20	300	100	0	False	1
95	0.0	0.0	1.0	10	1	20	300	100	0	False	1
96	0.0	1.0	0.0	10	1	20	300	100	0	False	1
97	0.0	1.0	0.0	10	1	20	300	100	0	False	1
